personality_type,file_count,percentage
FF-Ne/Ti-CP/B(S) #4,11,7.4324324324324325
FF-Te/Ne-PB/S(C) #4,9,6.081081081081082
FM-Ti/Ni-SC/B(P) #4,6,4.054054054054054
FM-Se/Ti-CS/B(P) #2,6,4.054054054054054
FF-Ne/Ti-CS/P(B) #4,6,4.054054054054054
FF-Fi/Ne-CP/S(B) #4,5,3.3783783783783785
MM-Si/Te-BP/C(S) #4,4,2.7027027027027026
FF-Ne/Fi-CP/B(S) #4,4,2.7027027027027026
MF-Te/Se-PC/S(B) #3,3,2.027027027027027
FM-Fi/Ne-CS/P(B) #3,3,2.027027027027027
MF-Fi/Ni-SC/B(P) #4,3,2.027027027027027
FM-Te/Se-PC/S(B) #3,3,2.027027027027027
FF-Se/Fi-CS/P(B) #3,3,2.027027027027027
FF-Fi/Se-CP/B(S) #4,2,1.3513513513513513
MF-Ne/Ti-CP/S(B) #1,2,1.3513513513513513
MF-Ni/Fi-SC/B(P) #1,2,1.3513513513513513
FF-Ne/Fe-PB/C(S) #4,2,1.3513513513513513
FF-Se/Fi-CS/P(B) #2,2,1.3513513513513513
FF-Se/Te-PB/S(C) #2,2,1.3513513513513513
FF-Te/Ne-PB/S(C) #2,2,1.3513513513513513
FF-Si/Te-BS/C(P) #2,2,1.3513513513513513
FM-Fe/Si-BS/C(P) #2,2,1.3513513513513513
FM-Si/Te-BP/S(C) #4,2,1.3513513513513513
MF-Ne/Fi-CP/B(S) #2,2,1.3513513513513513
MF-Ne/Fe-PC/B(S) #2,2,1.3513513513513513
MF-Ti/Se-CP/B(S) #4,2,1.3513513513513513
MF-Ne/Fi-CP/S(B) #3,2,1.3513513513513513
FF-Si/Fi-SC/P(B) #3,2,1.3513513513513513
MM-Se/Te-PC/B(S) #1,2,1.3513513513513513
FF-Ni/Te-BP/C(S) #2,2,1.3513513513513513
FF-Si/Fi-SB/P(C) #3,2,1.3513513513513513
MF-Ti/Ne-CP/B(S) #2,2,1.3513513513513513
FM-Te/Ni-BP/S(C) #1,2,1.3513513513513513
MM-Ti/Si-SB/P(C) #1,2,1.3513513513513513
MF-Ti/Se-CP/S(B) #2,2,1.3513513513513513
FF-Si/Te-BP/C(S) #3,2,1.3513513513513513
MM-Ne/Ti-CS/P(B) #3,2,1.3513513513513513
MF-Se/Te-PC/S(B) #4,2,1.3513513513513513
MF-Te/Ni-BP/S(C) #2,2,1.3513513513513513
MF-Ni/Fi-SC/P(B) #3,2,1.3513513513513513
FF-Ni/Fi-SB/C(P) #1,2,1.3513513513513513
FF-Se/Fi-CP/S(B) #4,2,1.3513513513513513
MF-Se/Fi-CP/B(S) #1,2,1.3513513513513513
FF-Ne/Fe-PC/B(S) #3,2,1.3513513513513513
MF-Ti/Se-CP/S(B) #4,2,1.3513513513513513
MF-Ne/Ti-CP/B(S) #2,2,1.3513513513513513
FF-Se/Fi-CP/B(S) #4,2,1.3513513513513513
MF-Ti/Si-SB/P(C) #2,2,1.3513513513513513
MF-Fi/Ni-SB/P(C) #4,1,0.6756756756756757
MF-Ne/Ti-CP/B(S) #1,1,0.6756756756756757
FF-Si/Te-BS/C(P) #1,1,0.6756756756756757
MF-Se/Fi-CS/P(B) #3,1,0.6756756756756757
MF-Ne/Ti-CP/B(S) #3,1,0.6756756756756757
FM-Si/Te-BS/C(P) #3,1,0.6756756756756757
MF-Ti/Ne-CP/S(B) #4,1,0.6756756756756757
MF-Ni/Ti-SC/P(B) #3,1,0.6756756756756757
MF-Si/Te-BS/P(C) #3,1,0.6756756756756757
FF-Fi/Ne-CS/P(B) #1,1,0.6756756756756757
MM-Ne/Ti-CP/S(B) #4,1,0.6756756756756757
FF-Te/Se-PC/S(B) #4,1,0.6756756756756757
